"","name","group","type","category","valuetype","default","min","max","Dislich2018","comment_D2018","model2018","comment_m2018"
"1","reproducible?","parameter","global","setup","boolean","FALSE",NA,NA,NA,"",NA,""
"2","rnd-seed","parameter","global","setup","numeric","3478436",NA,NA,NA,"",NA,""
"3","which-map","parameter","global","setup","string","""hundred-farmers3""",NA,NA,NA,"","""hundred-farmers3""",""
"4","land-use-change-decision","parameter","global","setup","string","""only-one-field-per-year""",NA,NA,"""only-one-field-per-year""","","""only-one-field-per-year""",""
"5","sim-time","parameter","global","setup","numeric","50",NA,NA,50,"",NA,""
"6","price_scenario","parameter","global","prices","string","""constant_prices""",NA,NA,NA,"2 scenarios are mentioned but no deafult","""constant_prices""",""
"7","price-fluctuation-percent","parameter","global","prices","numeric","10",NA,NA,NA,"value is not mentioned",10,""
"8","historical_smoothing","parameter","global","prices","numeric","0",NA,NA,NA,"",NA,""
"9","LUT-0-folder","parameter","global","prices","string","""oilpalm""",NA,NA,NA,"",NA,""
"10","LUT-0-price","parameter","global","prices","numeric","90",81,99,90,"",90,""
"11","LUT-0-price-mu","parameter","global","prices","numeric","1.9",NA,NA,NA,"",0,""
"12","LUT-0-price-sd","parameter","global","prices","numeric","10",NA,NA,NA,"",50,""
"13","LUT-1-folder","parameter","global","prices","string","""rubber""",NA,NA,NA,"",NA,""
"14","LUT-1-price","parameter","global","prices","numeric","1100",990,1210,1100,"",1100,""
"15","LUT-1-price-mu","parameter","global","prices","numeric","11",NA,NA,NA,"",0,""
"16","LUT-1-price-sd","parameter","global","prices","numeric","100",NA,NA,NA,"",500,""
"17","l_mng_price_tinput_management-0","parameter","global","prices","numeric","0.5",0.45,0.55,0.5,"","NA"0.5,"is called tinput-op and also exists as tinput-rm"
"18","l_mng_wages_management-0","parameter","global","prices","numeric","1.6",1.44,1.76,1.6,"","1.6","there is wages-op and wages-rm, both 1.6"
"19","consumption-on?","parameter","global","consumption","boolean","TRUE",NA,NA,NA,"",NA,""
"20","consumption_base","parameter","global","consumption","numeric","1000",900,1100,1000,"",1000,""
"21","consumption_frac_cash","parameter","global","consumption","numeric","0.1",0.09,0.11,0.1,"",0.1,""
"22","consumption_frac_wealth","parameter","global","consumption","numeric","0.05",0.045,0.055,0.05,"",0.05,""
"23","heterogeneous-hhs?","parameter","global","inefficiency","boolean","TRUE",NA,NA,NA,"",FALSE,""
"24","learning-spillover?","parameter","global","inefficiency","boolean","TRUE",NA,NA,NA,"",FALSE,""
"25","setup-hh-network","parameter","global","inefficiency","string","""hh-nw-kernel-distance""",NA,NA,"""hh-nw-kernel-distance""","","""hh-nw-kernel-distance""",""
"26","hh-nw-param1","parameter","global","inefficiency","numeric","10",9,11,20,"","10"",""
"27","hh-nw-param2","parameter","global","inefficiency","numeric","50",45,55,50,"","50",""
"28","spillover-share","parameter","global","inefficiency","numeric","1",0.9,1,NA,"is this the learning-diffusion-rate? then it would be 0.5 in the paper","1",""
"29","l_inefficiency_alpha_lut-0","parameter","global","inefficiency","numeric","3.168",2.8512,3.4848,3.168,"","3.168",""
"30","l_inefficiency_alpha_lut-1","parameter","global","inefficiency","numeric","3.445",3.1005,3.7895,3.445,"","3.445",""
"31","l_inefficiency_lambda_lut-0","parameter","global","inefficiency","numeric","0.069",0.0621,0.0759,0.069,"","0.069",""
"32","l_inefficiency_lambda_lut-1","parameter","global","inefficiency","numeric","0.093",0.0837,0.1023,0.093,"","0.093",""
"33","landmarket?","parameter","global","landmarket","boolean","TRUE",NA,NA,NA,"",NA,""
"34","h_debt_years_max_bankrupt","parameter","global","landmarket","numeric","5",4,6,5,"",5,""
"35","buyer_pool_n","parameter","global","landmarket","numeric","20",18,22,NA,"",NA,""
"36","immigrant_probability","parameter","global","landmarket","numeric","0.25",0.225,0.275,NA,"",NA,""
"37","land_price_increase","parameter","global","landmarket","numeric","0.05",0.045,0.055,NA,"",NA,""
"38","immigrant-xp-bonus","parameter","global","landmarket","string","""[0 0]""",NA,NA,NA,"",NA,""
"39","immigrant-wealth-factor","parameter","global","landmarket","numeric","13",11.7,14.3,NA,"",NA,""
"40","initial-wealth-distribution","parameter","global","wealth","string","""log-normal""",NA,NA,"""log-normal""","","""log-normal""",""
"41","init-wealth-correction-factor","parameter","global","wealth","numeric","10",9,11,10,"",10,""
"42","wealth-log-mean","parameter","global","wealth","numeric","7",6.3,7.7,7,"",7,""
"43","wealth-log-sd","parameter","global","wealth","numeric","1",0.9,1.1,1,"",1,""
"44","wealth-constant","parameter","global","wealth","numeric","10000",9000,11000,NA,"",10000,""
"45","min-wealth","parameter","global","wealth","numeric","30",27,33,30,"",30,""
"46","time-horizon","parameter","global","capital","numeric","10",9,11,NA,"",10,""
"47","discount-rate","parameter","global","capital","numeric","0.1",0.09,0.11,NA,"",0.1,""
"48","land_price","parameter","global","capital","numeric","750",675,825,750,"","750",""
"49","external_income","parameter","global","capital","numeric","500",450,550,500,"","500",""
"50","rent_rate_capital_lend","parameter","global","capital","numeric","0.08",0.072,0.088,NA,"",NA,""
"51","rent_rate_capital_borrow","parameter","global","capital","numeric","0.15",0.135,0.165,NA,"",NA,"rent_rate_capital was 0.1"
"52","rent_rate_land","parameter","global","capital","numeric","0.1",0.09,0.11,0.1,"","0.1",""
"53","l_depriciation_rate_young_lut-0","parameter","global","capital","numeric","-0.1",-0.11,-0.09,-0.1,"","-0.1",""
"54","l_depriciation_rate_young_lut-1","parameter","global","capital","numeric","-0.05",-0.055,-0.045,-0.05,"","-0.05",""
"55","l_depriciation_rate_old_lut-0","parameter","global","capital","numeric","0.1",0.09,0.11,0.1,"","0.1",""
"56","l_depriciation_rate_old_lut-1","parameter","global","capital","numeric","0.05",0.045,0.055,0.05,"","0.05",""
"57","l_depriciation_rate_switch_lut-0","parameter","global","capital","numeric","10",9,11,10,"","10",""
"58","l_depriciation_rate_switch_lut-1","parameter","global","capital","numeric","15",13.5,16.5,15,"","15",""
"59","l_max_age_lut-0","parameter","global","capital","numeric","25",22.5,27.5,30,"","25",""
"60","l_max_age_lut-1","parameter","global","capital","numeric","30",27,33,40,"","30",""
"61","carbon_ncinv","parameter","global","carbon_ncinv","string","""ncinv-carbon""",NA,NA,NA,"",NA,""
"62","sensitivity?","parameter","global","sensitivity","boolean","TRUE",NA,NA,NA,"",NA,""
"63","c_forest-agb","parameter","global","carbon_ncinv","numeric","89.4",80.46,98.34,NA,"",NA,""
"64","c_forest-bgb","parameter","global","carbon_ncinv","numeric","44.7",40.23,49.17,NA,"",NA,""
"65","c_forest-soc","parameter","global","carbon_ncinv","numeric","128.79",115.911,141.669,NA,"",NA,""
"66","c_forest-dead","parameter","global","carbon_ncinv","numeric","18.123",16.311,19.935,NA,"",NA,""
"67","c_lut-0-agb","parameter","global","carbon_ncinv","numeric","49.01",44.109,53.911,NA,"",NA,""
"68","c_lut-0-bgb","parameter","global","carbon_ncinv","numeric","24.51",22.059,26.961,NA,"",NA,""
"69","c_lut-0-soc","parameter","global","carbon_ncinv","numeric","121.55",109.395,133.705,NA,"",NA,""
"70","c_lut-0-dead","parameter","global","carbon_ncinv","numeric","3.18",2.862,3.498,NA,"",NA,""
"71","c_lut-1-agb","parameter","global","carbon_ncinv","numeric","37.57",33.813,41.327,NA,"",NA,""
"72","c_lut-1-bgb","parameter","global","carbon_ncinv","numeric","18.79",16.911,20.669,NA,"",NA,""
"73","c_lut-1-soc","parameter","global","carbon_ncinv","numeric","124.35",111.915,136.785,NA,"",NA,""
"74","c_lut-1-dead","parameter","global","carbon_ncinv","numeric","4.52",4.068,4.972,NA,"",NA,""
"75","ecol_interval","parameter","global","ecological","numeric","1",NA,NA,NA,"",NA,""
"76","biodiv_ncinv","parameter","global","biodiversity","string","""habitatquality""",NA,NA,NA,"",NA,""
"77","ncinv_experiment","parameter","global","biodiversity","string","""exp1""",NA,NA,NA,"",NA,""
"78","ncinv_test","parameter","global","biodiversity","string","""test1""",NA,NA,NA,"",NA,""
"79","biodiv_ncinv_k","parameter","global","biodiversity","numeric","0.05",NA,NA,NA,"",NA,""
"80","hq_lut-0-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA,"",NA,""
"81","hq_lut-1-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA,"",NA,""
"82","hq_immature-lut-0-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA,"",NA,""
"83","hq_immature-lut-1-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA,"",NA,""
"84","hq_lut-0-weight","parameter","global","biodiversity","numeric","0.89",0.801,0.979,NA,"",NA,""
"85","hq_lut-1-weight","parameter","global","biodiversity","numeric","0.56",0.504,0.616,NA,"",NA,""
"86","hq_immature-lut-0-weight","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"87","hq_immature-lut-1-weight","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"88","hq_lut-0-1-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"89","hq_lut-0-1-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA,"",NA,""
"90","hq_lut-0-1-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"91","hq_lut-0-1-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"92","hq_lut-0-2-sens-lut-0","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA,"",NA,""
"93","hq_lut-0-2-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA,"",NA,""
"94","hq_lut-0-2-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"95","hq_lut-0-2-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"96","hq_lut-0-3-sens-lut-0","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA,"",NA,""
"97","hq_lut-0-3-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA,"",NA,""
"98","hq_lut-0-3-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"99","hq_lut-0-3-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"100","hq_lut-0-4-sens-lut-0","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA,"",NA,""
"101","hq_lut-0-4-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA,"",NA,""
"102","hq_lut-0-4-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"103","hq_lut-0-4-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"104","hq_lut-0-5-sens-lut-0","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA,"",NA,""
"105","hq_lut-0-5-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA,"",NA,""
"106","hq_lut-0-5-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"107","hq_lut-0-5-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"108","hq_lut-1-1-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"109","hq_lut-1-1-sens-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"110","hq_lut-1-1-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"111","hq_lut-1-1-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"112","hq_lut-1-2-sens-lut-0","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA,"",NA,""
"113","hq_lut-1-2-sens-lut-1","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA,"",NA,""
"114","hq_lut-1-2-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"115","hq_lut-1-2-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"116","hq_lut-1-3-sens-lut-0","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA,"",NA,""
"117","hq_lut-1-3-sens-lut-1","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA,"",NA,""
"118","hq_lut-1-3-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"119","hq_lut-1-3-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"120","hq_lut-1-4-sens-lut-0","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA,"",NA,""
"121","hq_lut-1-4-sens-lut-1","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA,"",NA,""
"122","hq_lut-1-4-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"123","hq_lut-1-4-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"124","hq_lut-1-5-sens-lut-0","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA,"",NA,""
"125","hq_lut-1-5-sens-lut-1","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA,"",NA,""
"126","hq_lut-1-5-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"127","hq_lut-1-5-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"128","hq_forest-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"129","hq_forest-sens-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"130","hq_forest-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"131","hq_forest-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA,"",NA,""
"132","biodiv_birds","parameter","global","birdrichness","string","""mahnken/koller""",NA,NA,NA,"",NA,""
"133","bird_spillover_effect","parameter","global","birdrichness","numeric","0.25",0.225,0.275,NA,"",NA,""
"134","bird_intercept","parameter","global","birdrichness","numeric","2.078083",1.8702747,2.2858913,NA,"",NA,""
"135","bird_pbeetle","parameter","global","birdrichness","numeric","0.027132",0.0244188,0.0298452,NA,"",NA,""
"136","bird_pant","parameter","global","birdrichness","numeric","0.010402",0.0093618,0.0114422,NA,"",NA,""
"137","bird_plud","parameter","global","birdrichness","numeric","0.476163",0.4285467,0.5237793,NA,"",NA,""
"138","bird_pcanopy","parameter","global","birdrichness","numeric","2.20185",1.981665,2.422035,NA,"",NA,""
"139","bc_r-intercept","parameter","global","biocontrol","numeric","0.307045",0.2763405,0.3377495,NA,"",NA,""
"140","bc_r-pzmax","parameter","global","biocontrol","numeric","-0.051988",-0.0571868,-0.0467892,NA,"",NA,""
"141","bc_r-prubber","parameter","global","biocontrol","numeric","0.006531",0.0058779,0.0071841,NA,"",NA,""
"142","bc_r-pshdi","parameter","global","biocontrol","numeric","-0.675094",-0.7426034,-0.6075846,NA,"",NA,""
"143","bc_op-intercept","parameter","global","biocontrol","numeric","0.761321",0.6851889,0.8374531,NA,"",NA,""
"144","bc_op-pzmax","parameter","global","biocontrol","numeric","-0.114749",-0.1262239,-0.1032741,NA,"",NA,""
"145","bc_op-prubber","parameter","global","biocontrol","numeric","0.005093",0.0045837,0.0056023,NA,"",NA,""
"146","bc_op-pforest","parameter","global","biocontrol","numeric","-0.016152",-0.0177672,-0.0145368,NA,"",NA,""
"147","bc_op-ped","parameter","global","biocontrol","numeric","-66.190439",-72.8094829,-59.5713951,NA,"",NA,""
"148","bc_r-zmax-intercept","parameter","global","biocontrol","numeric","11.99827",10.798443,13.198097,NA,"",NA,""
"149","bc_r-zmax-page","parameter","global","biocontrol","numeric","0.46252",0.416268,0.508772,NA,"",NA,""
"150","bc_op-zmax-intercept","parameter","global","biocontrol","numeric","7.33052",6.597468,8.063572,NA,"",NA,""
"151","bc_op-zmax-page","parameter","global","biocontrol","numeric","0.43109",0.387981,0.474199,NA,"",NA,""
"152","hh_age_alpha","parameter","global","hhage","numeric","14.24",12.816,15.664,NA,"",NA,""
"153","hh_age_lambda","parameter","global","hhage","numeric","0.31",0.279,0.341,NA,"",NA,""
